변전소명,회선명,전산화번호,선로명,선로번호,위도,경도,인근주소(참고자료),철거예정전주,구역(4등분)
천왕,왕도,9321X562,서교간,51,37.47865754,126.8513656,광명시 광명동 189-86 W,,1구역
천왕,서교,9321X572,서교간,13L12L1,37.47907501,126.8512564,광명시 광명동 189-90 W,,1구역
광명,목감,9422Y273,목감간,27,37.49250649,126.8667740,광명시 광명동 2 RI,,2구역
천왕,왕도,9321X441,서교간,46,37.47761646,126.8508196,광명시 광명동 206-27 W,,1구역
천왕,왕도,9321X452,서교간,47,37.47784864,126.8509119,광명시 광명동 207-1 BL,,1구역
천왕,왕도,9321X432,서교간,44,37.47712256,126.8504981,광명시 광명동 207-18 BL,,1구역
천왕,왕도,9321X442,서교간,45,37.47742376,126.8507027,광명시 광명동 207-50 BL,,1구역
천왕,왕도,9321X333,서교간,44L2,37.47730131,126.8502104,광명시 광명동 207-6 BL,,1구역
천왕,서교,9321X353,서교간,18L2R1,37.47798457,126.8503044,광명시 광명동 208-13 BL,,1구역
천왕,서교,9321X351,서교간,18L2R2,37.47803488,126.8505247,광명시 광명동 208-3 BL,,1구역
천왕,서교,9321X251,서교간,18L1,37.47797198,126.8498247,광명시 광명동 208-33 W,,1구역
천왕,서교,9321X354,서교간,18L2,37.47801509,126.8500824,광명시 광명동 208-35 W,,1구역
천왕,서교,9321X355,서교간,18L3,37.47810915,126.8501426,광명시 광명동 210-2 W,,1구역
천왕,서교,9321X141,서교간,19,37.47768604,126.8490922,광명시 광명동 211-4 BL,,1구역
천왕,서교,9321X051,서교간,16,37.47809179,126.8486264,광명시 광명동 213-25 BL,,1구역
천왕,서교,9321X052,서교간,15,37.47824516,126.8482302,광명시 광명동 214-10 BL,,1구역
천왕,서교,9321X045,서교간,21,37.47763227,126.8484739,광명시 광명동 216-18 W,,1구역
천왕,서교,9321X041,서교간,20L1,37.47747443,126.8485232,광명시 광명동 216-31 W,,1구역
천왕,서교,9321W931,서교간,23,37.47732866,126.8481613,광명시 광명동 216-38 W,,1구역
천왕,서교,9321X046,서교간,20,37.47747621,126.8486035,광명시 광명동 216-48 W,,1구역
천왕,서교,9321X042,서교간,23L1,37.47743235,126.8482759,광명시 광명동 216-50 W,,1구역
천왕,서교,9321X044,서교간,22,37.47767287,126.8483346,광명시 광명동 216-55 W,,1구역
천왕,서교,9321W843,서교간,24R1R3,37.47775229,126.8473580,광명시 광명동 217-1 BL,,1구역
천왕,서교,9321W932,서교간,24R1,37.47726877,126.8476889,광명시 광명동 217-36 BL,,1구역
천왕,서교,9321W851,서교간,13R1,37.47814510,126.8475473,광명시 광명동 218-11 BL,,1구역
천왕,서교,9321W852,서교간,13R2,37.47803324,126.8474254,광명시 광명동 218-17 W,,1구역
광명,목감,9422Y372,목감간,26,37.49249886,126.8672284,광명시 광명동 2-21 W,,2구역
천왕,왕일,9421D325,왕일간,28R11R1,37.48107350,126.8616940,광명시 광명동 22-16 W,,2구역
천왕,서교,9321W653,서교간,9R2,37.47828630,126.8462274,광명시 광명동 224 W,,1구역
천왕,왕일,9421D321,왕일간,28R11,37.48115612,126.8615600,광명시 광명동 22-5 W,,2구역
천왕,서교,9321W836,서교간,24R2,37.47721652,126.8475594,광명시 광명동 226-12 BL,,1구역
천왕,서교,9321W842,서교간,24R1R1,37.47752551,126.8475636,광명시 광명동 226-14 W,,1구역
천왕,서교,9321W841,서교간,24R1R2,37.47763526,126.8474063,광명시 광명동 226-5 BL,,1구역
천왕,서교,9321W933,서교간,24,37.47706216,126.8480947,광명시 광명동 227-48 W,,1구역
천왕,서교,9321X025,서교간,25,37.47680111,126.8483381,광명시 광명동 227-9 BL,,1구역
신광명,서목,9321W614,서목간,57,37.47616170,126.8459247,광명시 광명동 234-1 B,,2구역
신광명,서목,9321W502,서목간,56,37.47579619,126.8458815,광명시 광명동 234-1 B,,2구역
신광명,서목,9321Y592,서목간,55,37.47535406,126.8458266,광명시 광명동 235-1 B,,2구역
천왕,과림,9321Y494,과림간,1L2,37.47557001,126.8449925,광명시 광명동 236-13 RI,,1구역
신광명,서목,9321Y582,서목간,54,37.47495470,126.8457876,광명시 광명동 236-7 W,,2구역
천왕,과림,9321Y552,과림간,7L2L2,37.47372927,126.8455630,광명시 광명동 238-1 B,,1구역
신광명,서목,9321Y562,서목간,51,37.47418630,126.8460034,광명시 광명동 239 W,,2구역
천왕,과림,9321Y553,과림간,7L2L1,37.47337457,126.8455137,광명시 광명동 239-11 B,,1구역
